Username,Date,Content,Likes,Retweets
"xtemujin360Resources
@xtemujin","7:14 AM · Jul 11, 2020",Singapore’s PAP Retains Power But Has Weakest Showing Ever https://bloomberg.com/news/articles/2020-07-10/singapore-ruling-party-set-to-win-vote-despite-historic-setback… #GE2020 #GE2020SG,2.0,2 s
"GE2020SG
@Ge2020S","7:04 AM · Jul 11, 2020","Very pleased that majority of Singaporeans still show support for PAP! It is a decent win. Though disappointed with Sengkang results, am waiting to see how the young WP team turn out. #GE2020 #SingaporeElection #GE2020SG",0.0,3 s
"Jin Chen
@jinchen_4","6:48 AM · Jul 11, 2020","Having 10 opposition seats in other countries may be insignificant, but in Singapore it's like a watershed moment. #WORKERSPARTY #GE2020SG",0.0,3 s
"Karen M. Fu
@karen_fu","4:45 AM · Jul 11, 2020","'PAP Forms Govt With 61.24% Of Votes, But Loses Sengkang GRC In Key Upset' #ge2020sg #singapore
Expected reduced mandate + loss of Sengkang GRC. Most of my estimates are largely correct.The final 10 days altered the vote count for many.",0.0,0
"ej
@tomoonxxandback","4:31 AM · Jul 11, 2020","the cockles of my heart are warmed
#jamuslim #JamusLim1stWin #JAMUSLIMFIRSTWIN #SENGKANG #GE2020 #GE2020SG",18.0,53 s
"mrbrown
@mrbrown","4:24 AM · Jul 11, 2020","For the opposition, anything above 50% is an A*.

Different bell curve lah.

#sgelections  #ge2020  #ge2020sg",36.0,175 s
"An1esa™
@an1esa","4:22 AM · Jul 11, 2020",The sight of Ivan Lim in the winning speech....is like the Malaysian’s Muhyiddin in terms of politics. Back door. #GE2020 #SGGE2020 #GE2020SG,0.0,3 s
"mrbrown
@mrbrown","4:22 AM · Jul 11, 2020","In Singapore GE results per ward, for the ruling party:

75% is A*
70% is A
65% is B
60% is C
55% is D

I have spoken.

#sgelections #ge2020 #ge2020sg",71.0,169 s
"gurmit singh
@gurms","4:18 AM · Jul 11, 2020","What a night, 83-10. Not quite the game changer we hoped for but it's a start to getting our #NoBlankCheque number in place. All opposition parties peformed admirably. So close for some. #GE2020 #GE2020SG",0.0,0
"Line Mcedgelord
@3scape_Nigh7","4:16 AM · Jul 11, 2020","I am PROUD to have voted for Chee Soon Juan as a Bukit Batok citizen, but i am hurt from the messages, both from friends directly and online, saying ""BB DESERVES to SUFFER because of ""US"".""

Please remember the 12000 of us who voted for CSJ. It hurts
.

#GE2020
#GE2020SG",0.0,5 s
"Rᴀᴢɪǫ
@ziqisms","4:11 AM · Jul 11, 2020","Despite his humorous intro, people should focus on the message he has after. It’s quite inspiring. #GE2020 #GE2020SG",47.0,70 s
"mrbrown
@mrbrown","3:38 AM · Jul 11, 2020","That was well-fought. 

#sgelections #ge2020 #ge2020sg",9.0,75 s
"mrbrown
@mrbrown","3:35 AM · Jul 11, 2020","Excuse me, did anyone leave a hammer at Sengkang GRC?

#sgelections #ge2020 #ge2020sg",47.0,124 s
"Fuad Abdul Aziz
@want2bsun","3:34 AM · Jul 11, 2020","Now that 
@PAPSingapore
 has a strong mandate, will they repeal Section 377A of the Penal Code? What's the point of having a strong mandate if you're not going to do that? #wordplay #GE2020 #GE2020SG",0.0,4 s
"Saravanan
@saravanans9","3:33 AM · Jul 11, 2020","@wpsg
 please look after the 
@ChannelNewsAsia
 reporter covering your celebrations #GE2020SG #sgelections",0.0,0
